marathi_word,sentiment_label,pos_score,neg_score,obj_score,english_translation,synset_id,pos
अजन्मा,neutral,0.0,0.0,0.0,indiscriminateness,101,adjective
अशुभ,-,0.125,0.75,0.125,ominous,101,adjective
अमंगळ,neutral,0.0,0.0,0.0,unpreigning,101,adjective
अप्रविष्ट,neutral,0.0,0.0,1.0,unprecedented,111,adjective
पुण्यभूमी,+,0.625,0.15625,0.21875,virtue,37,unknown
पवित्रभूमी,neutral,0.0,0.0,1.0,ground,37,unknown
पुण्यस्थान,+,0.625,0.15625,0.21875,virtue,37,unknown
पवित्रस्थान,+,0.375,0.125,0.5,sanctity,37,unknown
पावनस्थान,neutral,0.0,0.0,1.0,postage,37,unknown
शिवालय,neutral,0.0,0.0,0.0,shivala,37,noun
शिवमंदिर,neutral,0.0,0.0,1.0,shiva temple,37,noun
अपवित्र_स्थान,neutral,0.0,0.0,0.0,unholy_,37,noun
आलेला,neutral,0.0,0.0,1.0,arrive,101,adjective
आगत,+,0.375,0.0,0.625,famous,101,adjective
जन्मलेला,neutral,0.046875,0.046875,0.90625,born,101,adjective
जलमलेला,neutral,0.0,0.0,1.0,watery,101,adjective
जल्मलेला,+,0.09375,0.03125,0.875,effort,101,adjective
सत्कर्म,+,0.5694444444444444,0.004629629629629629,0.42592592592592593,good work,58,noun
सुकृत,+,0.35418181818181815,0.03218181818181818,0.6136363636363636,well -known,58,noun
नैतिक_कार्य,+,0.25,0.0,0.75,ethic,58,noun
सुकृत्य,neutral,0.0,0.0,1.0,drying,58,noun
चांगले_कार्य,neutral,0.0,0.0,0.0,good_,58,noun
उत्पादित,neutral,0.0,0.0,1.0,produced,101,adjective
उत्पन्न,neutral,0.03676470588235294,0.029411764705882353,0.9338235294117647,yield,101,adjective
चारित्र्यहीनता,-,0.125,0.75,0.125,inappropriateness,79,noun
दुश्चरित्रता,neutral,0.0,0.0,0.0,percutism,79,noun
शिष्टपणा,+,0.5416666666666666,0.0,0.4583333333333333,dignity,155,noun
अत्याचार,-,0.07142857142857142,0.26785714285714285,0.6607142857142857,torture,62,noun
जुलूम,-,0.0,0.375,0.625,tyranny,62,noun
जुलूमजबरी,+,0.20833333333333334,0.08333333333333333,0.7083333333333334,compliance,62,noun
घोटाळा,-,0.041666666666666664,0.3333333333333333,0.625,bewildered,40,noun
अफरातफर,neutral,0.0,0.0,0.0,aptarfar,40,noun
भानगड,neutral,0.0,0.0,0.0,bhangad,40,noun
घोळ,neutral,0.0,0.0,1.0,ferry,40,noun
गोंधळ,-,0.075,0.3,0.625,confusion,40,noun
गडबड,-,0.0,0.625,0.375,bumpy,40,noun
गोलमाल,neutral,0.0,0.0,0.0,jargling,40,noun
हेराफेरी,neutral,0.0,0.0,0.0,heraferi,40,noun
जीवनसत्त्व,neutral,0.0,0.0,1.0,vitamin,26,noun
व्हिटॅमिन,neutral,0.0,0.0,1.0,vitamin,26,noun
चारित्र्यसंपन्नता,neutral,0.0,0.0,0.0,characterism,79,noun
सच्छीलता,neutral,0.0,0.0,1.0,stimulus,79,noun
मनमानी,neutral,0.0,0.0,1.0,arbitrary,52,noun
अनैतिक_कार्य,neutral,0.0,0.0,0.0,immoral_,52,noun
दुष्कर्म,-,0.0,0.34375,0.65625,misconduct,52,noun
कुकर्म,neutral,0.0,0.0,1.0,shopper,52,noun
धान्य,neutral,0.016666666666666666,0.025,0.9583333333333334,grain,29,noun
अन्नधान्य,neutral,0.0,0.0,1.0,cereal,29,noun
दाणागोटा,neutral,0.0,0.0,0.0,dangota,29,noun
खाद्य,neutral,0.0,0.0,1.0,saplings,29,noun
खाद्यपदार्थ,-,0.0,0.08333333333333333,0.9166666666666666,dodge,29,noun
खाद्य_पदार्थ,neutral,0.0,0.0,0.0,food_,29,noun
खाद्यवस्तू,neutral,0.025,0.0,0.975,spine,29,noun
खाद्य_वस्तू,neutral,0.0,0.0,1.0,saplings,29,noun
अन्नपदार्थ,neutral,0.0,0.041666666666666664,0.9583333333333334,food,29,noun
अननुभवी,+,0.25,0.0375,0.7125,fine,101,adjective
नवखा,neutral,0.08333333333333333,0.08333333333333333,0.8333333333333334,newborn,101,adjective
